id,totalcommamt,url,teamleadname,status,sector1,project_name,lendinginstr,impagency,countrycode,boardapprovaldate,closingdate
P179003,135000000,https://projects.worldbank.org/en/projects-operations/project-detail/P179003,"Myriam Mireille Veronique Chaudron,Jean Edouard Albert Saint-Geours,Shafick Hoossein",Active,,Sindh Livestock and Aquaculture Sectors Transformation Project,Investment Project Financing,"Livestock and Fisheries Department, Sindh Province",['PK'],2024-06-20,2029-12-31
P181558,400000000,https://projects.worldbank.org/en/projects-operations/project-detail/P181558,"Amjad Zafar Khan,Melis U. Guven",Active,,Crisis-Resilient Social Protection - Additional Financing,Program-for-Results Financing,Benazir Income Support Programme,['PK'],2024-06-20,
P176594,150000000,https://projects.worldbank.org/en/projects-operations/project-detail/P176594,Izza Farrakh,Active,,Getting Results: Access and Delivery of Quality Education Services in Punjab Project,Investment Project Financing,"Government of Punjab, School Education Department and Communication and Works Department",['PK'],2024-06-14,2029-06-30
P181423,1000000000,https://projects.worldbank.org/en/projects-operations/project-detail/P181423,"Mats Johan Rikard Liden,Gunjan Gautam",Active,Renewable Energy Hydro,Second Additional Financing for Dasu Hydropower Stage I Project,Investment Project Financing,"Water and Power Development Authority (WAPDA), National Transmission and Despatch Company",['PK'],2024-06-10,
P179051,71700000,https://projects.worldbank.org/en/projects-operations/project-detail/P179051,"Thiruni Udeshika Lekamwasam Liyanage,Francois Onimus",Active,Water Supply,Second Additional Financing for the Sindh Barrages Improvement Project,Investment Project Financing,Irrigation Department,['PK'],2024-03-22,
P174402,78000000,https://projects.worldbank.org/en/projects-operations/project-detail/P174402,"Jerome Bezzina,Shahbaz Khan,Shan Rehman",Active,,Islamic Republic of Pakistan: Digital Economy Enhancement Project,Investment Project Financing,"Board of Investment, Ministry of Information Technology and Telecommunication, National Database and Registration Authority",['PK'],2024-03-22,2028-07-31
P172648,350000000,https://projects.worldbank.org/en/projects-operations/project-detail/P172648,"Derek Hung Chiat Chen,Adnan Ashraf Ghumman,Gonzalo J. Varela",Active,Central Government (Central Agencies),Second Resilient Institutions for Sustainable Economy,Development Policy Lending,Ministry of Finance and Revenue,['PK'],2023-12-19,2024-12-31
P178410,100000000,https://projects.worldbank.org/en/projects-operations/project-detail/P178410,"NIL,Jahanzaib Sohail",Active,Health,Punjab Family Planning Program,Program-for-Results Financing,"Government of Punjab,  Population Welfare Department, Government of Punjab, Primary and Secondary Healthcare Department",['PK'],2023-07-12,2027-06-30
P180707,50000000,https://projects.worldbank.org/en/projects-operations/project-detail/P180707,Amjad Zafar Khan,Active,Health,Khyber Pakhtunkhwa Citizen-Centered Service Delivery Project,Investment Project Financing,National Database and Registration Authority (NADRA),['PK'],2023-07-06,2025-06-30
P176780,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P176780,"Anna Charlotte O'Donnell,Akmal Minallah,Mohammad Farhanullah Sami",Active,Sub-National Government,Khyber Pakhtunkhwa Rural Investment and Institutional Support Project,Investment Project Financing,"Planning and Development Department, Public Health Engineering Department, Local Government , Elections and Rural Development Department, Irrigation Department, Agriculture Department, Communication and Works Department",['PK'],2023-06-13,2029-06-30
P180323,213000000,https://projects.worldbank.org/en/projects-operations/project-detail/P180323,"Kamran Akbar,Carlo Alberto Amadei,Maha Ahmed",Active,Irrigation and Drainage,Integrated Flood Resilience and Adaptation Project,Investment Project Financing,"Ministry of Planning, Development and Special Initiatives",['PK'],2023-05-25,2028-12-31
P179981,500000000,https://projects.worldbank.org/en/projects-operations/project-detail/P179981,"Ahsan Tehsin,Babar Naseem Khan,Yohannes Yemane Kesete",Active,Irrigation and Drainage,Sindh Flood Emergency Rehabilitation Project,Investment Project Financing,"Province of Sindh, Planning and Development Department, Province of Sindh, Irrigation Department",['PK'],2022-12-19,2027-12-31
P180008,500000000,https://projects.worldbank.org/en/projects-operations/project-detail/P180008,"Kamran Akbar,Yunziyi Lang",Active,Housing Construction,Sindh Flood Emergency Housing Reconstruction Project,Investment Project Financing,"Province of Sindh, Sindh Peoples Housing for Flood Affectees",['PK'],2022-12-19,2027-06-30
P167596,292000000,https://projects.worldbank.org/en/projects-operations/project-detail/P167596,"Greg J. Browder,Francois Onimus,Olivier Durand",Active,Crops,Sindh Water and Agriculture Transformation Project (SWAT),Investment Project Financing,Province of Sindh,['PK'],2022-12-19,2028-12-31
P178532,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P178532,"Sohail Saeed Abbasi,Amna Khan",Active,Social Protection,Strengthening Social Protection Delivery System in Sindh,Investment Project Financing,Province of Sindh,['PK'],2022-12-19,2027-12-31
P178530,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P178530,"Jahanzaib Sohail,Manav Bhattarai",Active,Health Facilities and Construction,Sindh Integrated Health and Population Project,Investment Project Financing,"Province of Sindh, Department of Health",['PK'],2022-12-19,2027-06-30
P176786,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P176786,"Olivier Durand,Francois Onimus,Jean Edouard Albert Saint-Geours",Active,"Public Administration - Agriculture, Fishing & Forestry",Punjab Resilient and Inclusive Agriculture Transformation,Investment Project Financing,"Government of Punjab, Agriculture Department",['PK'],2022-07-15,2027-06-30
P177069,300000000,https://projects.worldbank.org/en/projects-operations/project-detail/P177069,"Muhammad Bilal Paracha,Hasan Afzal Zaidi,Shyam Srinivasan",Active,Rural and Inter-Urban Roads,Khyber Pakhtunkhwa Rural Accessibility Project (KPRAP),Investment Project Financing,"Communication and Works Department, Government of Khyber Pakhtunkhwa",['PK'],2022-06-09,2027-06-30
P172615,354410000,https://projects.worldbank.org/en/projects-operations/project-detail/P172615,"Manav Bhattarai,Hnin Hnin Pyne",Active,Health,National Health Support Program,Program-for-Results Financing,"Ministry of National Health Services, Regulations and Coordination, Department of Health, Khyber Pakhtunkhwa, Department of Health, Sindh, Primary and Secondary Healthcare Department, Punjab",['PK'],2022-06-07,2026-12-31
P172945,150000000,https://projects.worldbank.org/en/projects-operations/project-detail/P172945,"Dong Kyu Kwak,Davison Muchadenyika",Active,Sub-National Government,Punjab Urban Land Systems Enhancement Project,Investment Project Financing,"Punjab Land Records Authority, Province of Punjab, Board of Revenue",['PK'],2022-03-10,2027-06-30
P172581,85000000,https://projects.worldbank.org/en/projects-operations/project-detail/P172581,Namoos Zaheer,Active,Housing Construction,Pakistan Housing Finance: Additional Financing,Investment Project Financing,"PMRC, Ministry of Planning, Development & Reform, Naya Pakistan Housing & Development Authority",['PK'],2022-03-10,
P173663,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P173663,"Shahnaz Arshad,Qingyun Shen",Active,Housing Construction,Punjab Affordable Housing Program,Program-for-Results Financing,Province of Punjab,['PK'],2022-03-10,2027-06-30
P170230,195000000,https://projects.worldbank.org/en/projects-operations/project-detail/P170230,"Ky Hong Tran,Teuta Kacaniku",Active,Other Energy and Extractives,Electricity Distribution Efficiency Improvement Project,Investment Project Financing,"Multan Electric Power Company Limited, Hyderabad Electric Supply Company Limited, Peshawar Electric Supply Company Limited, Ministry of Energy (Power Division)",['PK'],2021-12-17,2027-12-31
P172834,154760000,https://projects.worldbank.org/en/projects-operations/project-detail/P172834,"Izza Farrakh,Elena Maria Roseo,Kirill Vasiliev",Active,Primary Education,Sindh Early Learning Enhancement through Classroom Transformation,Investment Project Financing,"SCHOOL EDUCATION AND LITERACY DEPARTMENT, GOVERNMENT OF SINDH",['PK'],2021-07-29,2026-04-30
P169071,442400000,https://projects.worldbank.org/en/projects-operations/project-detail/P169071,Mohammad Farhanullah Sami,Active,"Other Water Supply, Sanitation and Waste Management",Punjab Rural Sustainable Water Supply and Sanitation Project,Investment Project Financing,"Local Government Department, Government of Punjab",['PK'],2021-06-18,2028-06-30
P175727,400000000,https://projects.worldbank.org/en/projects-operations/project-detail/P175727,Akmal Minallah,Active,Other Education,KP- Spending Effectively  for Enhanced Development,Program-for-Results Financing,"Finance Department, Government of Khyber Pakhtunkhwa",['PK'],2021-04-22,2026-06-30
P174484,600000000,https://projects.worldbank.org/en/projects-operations/project-detail/P174484,"Amjad Zafar Khan,Melis U. Guven",Active,Social Protection,Pakistan Crisis-Resilient Social Protection (CRISP),Program-for-Results Financing,Benazir Income Support Programme,['PK'],2021-03-25,2027-06-30
P173021,100000000,https://projects.worldbank.org/en/projects-operations/project-detail/P173021,"Suhaib Rasheed,Thierry Michel Rene Martin",Active,Waste Management,Solid Waste Emergency and Efficiency Project,Investment Project Financing,"Local Government Department, Province of Sindh",['PK'],2020-12-08,2025-06-30
P171417,304000000,https://projects.worldbank.org/en/projects-operations/project-detail/P171417,"Akmal Minallah,Derek Hung Chiat Chen,Irum Touqeer",Active,Central Government (Central Agencies),Punjab Resource Improvement and Digital Effectiveness,Program-for-Results Financing,"Finance Department, Government of Punjab",['PK'],2020-10-22,2025-08-25
P163461,450000000,https://projects.worldbank.org/en/projects-operations/project-detail/P163461,Ky Hong Tran,Active,Renewable Energy Solar,Khyber Pakhtunkhwa Hydropower and Renewable Energy Development,Investment Project Financing,"Pakhtunkhwa Energy Development Organization, Energy and Power Department, Government of Khyber Pakhtunkhwa",['PK'],2020-09-24,2027-11-30
P173399,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P173399,Inga Afanasieva,Active,Public Administration - Education,Actions to Strengthen Performance for Inclusive and Responsive Education Program,Program-for-Results Financing,Ministry of Federal Education and Professional Training,['PK'],2020-07-31,2025-06-30
P166308,36000000,https://projects.worldbank.org/en/projects-operations/project-detail/P166308,"Aliya Kashif,Inga Afanasieva",Active,Health,Balochistan Human Capital Investment Project,Investment Project Financing,"Health Department, Government of Balochistan, Secondary Education Department, Government of Balochistan",['PK'],2020-06-23,2025-06-30
P166309,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P166309,"Amer Hasan,Aliya Kashif,James Gresham",Active,Health,Khyber Pakhtunkhwa Human Capital Investment Project,Investment Project Financing,"Department of Health, Elementary and Secondary Education Department of Khyber Pakhtunkhwa",['PK'],2020-06-23,2025-06-30
P167843,700000000,https://projects.worldbank.org/en/projects-operations/project-detail/P167843,"Mats Johan Rikard Liden,Fowzia Hassan",Active,Energy Transmission and Distribution,Additional Financing  For Dasu Hydropower Stage I Project (Transmission Line),Investment Project Financing,"Water and Power Development Authority (WAPDA), National Transmission and Despatch Company",['PK'],2020-03-31,
P164785,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P164785,"Sohail Saeed Abbasi,James Gresham",Active,Social Protection,Punjab Human Capital Investment Project,Investment Project Financing,"Punjab Social Protection Authority, Government of Punjab, School Education Department, Government of Punjab, Primary and Secondary Healthcare Department, Government of Punjab",['PK'],2020-03-03,2025-06-30
P159292,50000000,https://projects.worldbank.org/en/projects-operations/project-detail/P159292,Maha Ahmed,Active,Social Protection,Balochistan Livelihoods and Entrepreneurship Project,Investment Project Financing,"Planning and Development Department, Government of Balochistan",['PK'],2020-03-03,2025-06-30
P165542,50000000,https://projects.worldbank.org/en/projects-operations/project-detail/P165542,Puteri Natalie Watson,Active,Public Administration - Social Protection,Strengthening Institutions for Refugee Administration Project,Investment Project Financing,Ministry of States and Frontier Regions,['PK'],2020-03-03,2025-02-28
